epoch,label_loss,domain_loss,total_loss,label_acc,domain_acc,alpha,grad_norm_features,grad_norm_labels,grad_norm_domain
0,0.42168201671706307,0.7740674846702151,1.1957495080100164,0.6649305555555556,0.6614583333333334,0.0,1.2683782862190387,1.549760654641859,1.9176231873790925
1,0.04050009552803305,0.282366833753056,0.32286692824628616,0.8298611111111112,0.9392361111111112,0.049958374957880025,0.17419570544826957,0.24575995904166245,1.1451247896290946
2,0.012051455159154203,0.15000866850217184,0.16206012500656974,0.8385416666666666,0.9774305555555556,0.0996679946249559,0.11794582866027005,0.08064720045199819,0.7334128932101763
3,0.005675652969835533,0.10828743916418818,0.11396309236685435,0.828125,0.9739583333333334,0.14888503362331806,0.1298409168877359,0.04302070503072913,0.6571113154163385
4,0.003949145760594143,0.05431572637624211,0.05826487226618661,0.8350694444444444,0.9878472222222222,0.197375320224904,0.11410835706647476,0.03023805391240357,0.3958988560678759
5,0.0029890305724822814,0.048808355091346636,0.051797386465801135,0.8298611111111112,0.9947916666666666,0.2449186624037092,0.12334662223976285,0.024188107982709154,0.36465358314982277
6,0.003032902986483855,0.08545641642477778,0.08848931888739268,0.8333333333333334,0.9739583333333334,0.2913126124515908,0.26189061902817956,0.023832769826070115,0.688622248762157
7,0.0034655380942341355,0.13045560816923776,0.13392114722066456,0.8298611111111112,0.9618055555555556,0.3363755443363323,0.4310551116488457,0.02786873438824036,0.9497880317940643
8,0.005405059420607156,0.23311618467171988,0.23852124644650352,0.8333333333333334,0.9149305555555556,0.379948962255225,0.6654086905083751,0.042924178518243955,1.2756479984978235
9,0.012487619494398436,0.738320196668307,0.7508078217506409,0.828125,0.7638888888888888,0.4218990052500078,1.46495158987571,0.09482161268687989,2.5148560440981473
10,0.025690306805902056,2.2048263549804688,2.2305166721343994,0.8350694444444444,0.5243055555555556,0.4621171572600098,2.2893908115452657,0.19297656193298743,4.871082478559179
