epoch,label_loss,domain_loss,total_loss,label_acc,domain_acc,alpha,grad_norm_features,grad_norm_labels,grad_norm_domain
38,0.0004530971814852415,0.036422850357161626,0.03687594748205609,0.8298611111111112,0.9930555555555556,0.9562374581277389,0.13156380353788089,0.003683303874523846,0.4016242695498642
39,0.0007685535205786841,0.026801537515388593,0.027570091498394806,0.8333333333333334,0.9947916666666666,0.9603193885318451,0.09659350550142476,0.005964550166973263,0.24620063439399983
40,0.0008203884038569716,0.02734336919254727,0.028163756968246564,0.8333333333333334,0.9947916666666666,0.9640275800758169,0.09127366740688989,0.005734179319110879,0.28576953744087874
41,0.0013349123829458323,0.037330177716083,0.03866509017017153,0.8315972222222222,0.9930555555555556,0.9673950012571182,0.14744896308803995,0.008490797170023223,0.3512956831676138
42,0.0007035897643719283,0.025692526251077652,0.02639611613833242,0.8298611111111112,0.9965277777777778,0.9704519366134539,0.07504415000558753,0.005314372760600352,0.26210336609082774
43,0.0009528263585202189,0.035944327298137874,0.03689715390404066,0.8298611111111112,0.9895833333333334,0.9732261643446702,0.11321003043836658,0.006694936664558307,0.2921403811227136
44,0.0009339465242293146,0.030954833556380536,0.03188877977016899,0.8333333333333334,0.9947916666666666,0.9757431300314514,0.10802539737443108,0.006604328183268823,0.23807107420523993
45,0.0010327059086800243,0.03994089406397608,0.04097359979318248,0.8368055555555556,0.9878472222222222,0.9780261147388136,0.14595517202540098,0.00685031901288698,0.28858857806468685
46,0.0007697154045066176,0.0667668701046043,0.06753658627470334,0.8350694444444444,0.9774305555555556,0.9800963962661915,0.23322521667821394,0.005734515868757677,0.4496588439512829
47,0.0005222519296997538,0.10785416016976039,0.10837641192807092,0.8315972222222222,0.9583333333333334,0.9819734026943041,0.3239644414917099,0.004007019802223375,0.5591874672149273
48,0.0004156668014224528,0.25001627537939286,0.2504319383038415,0.8368055555555556,0.8923611111111112,0.9836748576936802,0.4906937330571923,0.0032995516393770205,1.0912716514373908
49,0.00020269977540010586,0.3533421390586429,0.3535448345873091,0.8350694444444444,0.859375,0.9852169173114362,0.5060769127807495,0.00200221233538835,1.4825626004847827
